NUMBER	NAME	KINGDOM	PHYLUM	SUBPHYLUM	CLADE	SUBCLADE	ORDER	SUBORDER	FAMILY	LEVEL	LEGENDA
001	EUGLENOIDEA	PROTOZOA	EUGLENOZOA	----------------------------	EUGLENOIDEA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	The euglenoid species of Peranema and Euglena are among the most familiar of all flagellates. The body is elongate with an invagination, the reservoir, at the anterior end. The cytostome lies at the base of the reservoir and joins a cytopharynx. A contractile vacuole discharges into the reservoir in freshwater species, and two flagella, each bearing a row of mastigonemes, arise from the reservoir wall.         
002	KINETOPLASTIDA	PROTOZOA	EUGLENOZOA	----------------------------	KINETOPLASTIDA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Kinetoplastid flagellates are colorless heterotrophs. A few of the 600 species are free living, but most are important parasites. All share the flagellar paraxial rod with their euglenoid relatives, but uniquely have a conspicuous mass of DNA, called a kinetoplast, located within a single, large mitochondrion. Most of the kinetoplast DNA sequences code for the morphogenesis of mitochondria. The large kinetoplast genome probably is related to the cyclical differentiation and regression of mitochondria as parasitic kinetoplastids adapt their energy metabolism to alternating aerobic and anaerobic host environments. The one or two flagella arise from a reservoir-like pit, which bears a cytostome that leads into a cytopharynx. Their basal bodies are located on or near the kinetoplast mitochondrion. 
003	VOLVOCIDA	PROTOZOA	CHLOROPHYTA	----------------------------	----------------------------	----------------------------	VOLVOCIDA	----------------------------	----------------------------	ORDER	Volvocida is a taxon of green algae (Chlorophyta), in which the large, cup-shaped chloroplasts contain chlorophylls a and b and a pyrenoid that synthesizes starch (amylopectin) as a food storage product. Many chlorophytes are nonmotile marine and freshwater algae, such as the filamentous Spirogyra of fresh water. The cells of Volvocida, however, are permanently flagellated: Each cell bears two, four, or occasionally eight flagella lacking mastigonemes. An eyespot and two contractile vacuoles also may be present. The cells are enclosed in a gel matrix composed of glycoproteins and glycoaminoglycans and are inter joined by cytoplasmic bridges. 
004	CHOANOFLAGELLATA	PROTOZOA	CHOANOFLAGELLATA	----------------------------	----------------------------	----------------------------	----------------------------	----------------------------	----------------------------	PHYLUM	Surprising as it may seem, the marine and freshwater choanoflagellates are the sister taxon of animals (Metazoa). Both choanoflagellate and primitive monociliated animal cells bear a single flagellum, which bears a bilateral vane of mastigoneme-like filaments and is surrounded by a cylindrical collar of microvilli. This synapomorphy, along with support provided by rDNA sequences, unites the choanoflagellates and metazoans as sister taxa in amonophyletic taxon. The 600 species of choanoflagellates are mostly tiny and inconspicuous, usually not in excess of 10pm in diameter. While feeding, the flagellum creates a water current from which the collar filters bacteria and organic particulates. Bacteria trapped on the collar are ingested by phagocytosis.
005	RETORTAMONADEA	PROTOZOA	RETORTAMONADA	----------------------------	RETORTAMONADEA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Two or four anterior flagella, one of which is associated with the cytostome, which is elongate longitudinally as a body furrow; mitochondria are absent. Chilomastix sp. (plural, spp.) cause diarrhea in humans, poultry; Retortamonas. 
006	DIPLONADEA	PROTOZOA	RETORTAMONADA	----------------------------	DIPLONADEA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Cell with eight flagella, two cytostomes, two nuclei (twinned, diplozoic cell); mitochondria are absent. Free-living Hexamita and parasitic Giardia, with their attachment disc and long flagellar axonemes.
007	OXYMONADEA	PROTOZOA	AXOSTYLATA	----------------------------	OXYMONADEA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Four posterior flagella; no cytostome, mitochondria, or Golgi bodies. Undulatory axostyle, with intra-cellular bacteria and surface-attached spirochetes. Anaerobes in the gut of termites and wood roaches. Oxymonas, Pyrsonympha. 
008	PARABASALEA	PROTOZOA	AXOSTYLATA	----------------------------	PARABASALEA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Cells have from a few to thousands of flagella and aggregates of large Golgi bodies (parabasal bodies). Axostyleisskeletal, single, replicated, or lost; mitochondria are absent; gut symbionts. Trichomonadida has two to six flagella; a recurrent flagellum forms an undulating membrane; axostyle projects posteriorly to form the attachment site. Trichomonas and Mixotricha paradoxa in the termite gut have surface-attached spirochetes whose motion propels the flagellate. Hypermastigida has many flagella at the anterior end of the cell (sometimes also elsewhere). Most have surface-attached symbiotic bacteria. In the gut of termites and wood roaches. Barbulanympha, Lophomonas, Trichonympha. 
009	DINOFLAGELLATA	PROTOZOA	ALVEOLATA	DINOFLAGELLATA	----------------------------	----------------------------	----------------------------	----------------------------	----------------------------	SUBPHYLUM	Approximately one-half of the 4000 marine and freshwater species of dinoflagellates have chloroplasts and are important primary producers, especially in the sea. The xanthophyll pigment peridinin colors themred-brown or golden brown.Their chloroplasts are surrounded by three membranes and have chlorophylls a and c, but lack chlorophyll b. Dinoflagellate chloroplasts are diverse, having originated as endosymbionts from at least three different taxa of photosynthetic cells. Heterotrophic dinoflagellates lack plastids and are colorless. Like euglenoids, dinoflagellates originated as colorless heterotrophs that independency acquired chloroplasts by endosymbiosis, probably more than once. A few dinoflagellates are endoparasites of other protozoans, crustaceans, and fishes. The cell nucleus contains permanently condensed (thickened) chromo- somes having relatively small amounts of protein, and each chromosome is permanently attached to the nuclear membrane.  
010	KARYORELICTEA	PROTOZOA	ALVEOLATA	CILIOPHORA	KARYORELICTEA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Freshwater Loxodes and marine interstitial Geleia, Remanella, and Tracheloraphis, ail highly contractile. Macronuclei and micronuclei both diploid; somatic dikinetids.
